iter	Accuracy	MultiClass
0	0.1476793249	2.300259619
1	0.2320675105	2.295310075
2	0.2362869198	2.29216557
3	0.229254571	2.290162619
4	0.2686357243	2.285304204
5	0.2700421941	2.282701566
6	0.2981715893	2.277107514
7	0.29395218	2.274897035
8	0.2967651195	2.272297279
9	0.3164556962	2.268170756
10	0.3164556962	2.265348776
11	0.3248945148	2.263193696
12	0.3094233474	2.262721254
13	0.3192686357	2.25980872
14	0.3220815752	2.256057893
15	0.3473980309	2.25188758
16	0.3473980309	2.248180466
17	0.3544303797	2.245886356
18	0.3853727145	2.239535142
19	0.388185654	2.237585621
20	0.3924050633	2.234441202
21	0.388185654	2.23255041
22	0.3797468354	2.231531826
23	0.3783403657	2.229068866
24	0.3924050633	2.222770354
25	0.3938115331	2.219682472
26	0.3994374121	2.217769086
27	0.4106891702	2.211822045
28	0.4106891702	2.20884153
29	0.4078762307	2.206527437
30	0.4247538678	2.20384735
31	0.4303797468	2.20128574
32	0.4317862166	2.197553083
33	0.4275668073	2.196447648
34	0.4388185654	2.193057496
35	0.4402250352	2.191203817
36	0.4345991561	2.189651927
37	0.4303797468	2.188305865
38	0.4317862166	2.186867857
39	0.4388185654	2.182989537
40	0.4402250352	2.181839159
41	0.4542897328	2.178164523
42	0.4571026723	2.175929678
43	0.4683544304	2.171642985
44	0.4669479606	2.168258294
45	0.4711673699	2.167062044
46	0.4753867792	2.163327169
47	0.4767932489	2.160441979
48	0.4711673699	2.159404669
49	0.4739803094	2.157003836
50	0.4669479606	2.155762995
51	0.4810126582	2.152709644
52	0.4781997187	2.151068246
53	0.482419128	2.149334588
54	0.488045007	2.14623096
