iter	Passed	Remaining
0	59	17902
1	129	19240
2	200	19835
3	268	19843
4	342	20227
5	414	20314
6	488	20454
7	560	20471
8	628	20311
9	697	20222
10	768	20201
11	842	20217
12	853	18851
13	924	18890
14	994	18893
15	1064	18897
16	1132	18850
17	1206	18904
18	1286	19030
19	1395	19539
20	1477	19623
21	1553	19624
22	1630	19633
23	1698	19537
24	1779	19578
25	1852	19524
26	1924	19459
27	1988	19318
28	2041	19073
29	2091	18826
30	2142	18593
31	2193	18371
32	2242	18146
33	2290	17920
34	2338	17708
35	2386	17501
36	2434	17303
37	2480	17105
38	2529	16925
39	2579	16768
40	2628	16601
41	2676	16438
42	2723	16280
43	2774	16143
44	2823	15997
45	2868	15840
46	2916	15699
47	2963	15557
48	3010	15422
49	3058	15290
50	3105	15160
51	3152	15034
52	3203	14928
53	3250	14807
54	3297	14689
